"id","chat_id","expense_date","expense_time","submitted_at","vendor","amount_original","currency","amount_sgd","exchange_rate","category","location","payment_method","comment","parsed_by","parsing_time","provider_tier","confidence_score","receipt_image_url","drive_file_id","needs_review","review_fields","current_fix_index","conversation_state","created_at","updated_at","user_id","bot_id"
49,"1256744399","2025-12-14","11:26:00","2026-01-01 13:54:00","JUJUBE HOUSE","30.00","MYR","8.85","0.295000","Meals - Lunch","Puchong, Selangor, Malaysia","Own $$$","Vendor is a food establishment (JUJUBE HOUSE). Time of 11:26 falls in lunch time window (11:00-14:59). Location inferred as Puchong, Selangor, Malaysia based on address and phone code. Currency is MYR with 2 decimals. OCR quality is 85%, which is acceptable for accurate parsing. No dual-currency pattern detected.","Alibaba Qwen Turbo","3.25","paid",88,"https://drive.google.com/file/d/1ByM9Ugtv4JAwyb4AIrkFUgn7G-9MjcOE/view","1ByM9Ugtv4JAwyb4AIrkFUgn7G-9MjcOE",False,"{}",NULL,"completed","2026-01-01 05:55:07.126336","2026-01-13 12:36:27.200106",1,1
50,"1256744399","2025-12-05","14:07:00","2026-01-01 13:57:00","Coffee Hive","4.40","SGD","4.40","1.000000","Meals - Drinks","Singapore","Company Card","Coffee/tea chain, meal categorization based on vendor type, OCR quality 85%, SGD with 2 decimals, high confidence in all fields","Groq Llama 3.3 70B","1.04","free",94,"https://drive.google.com/file/d/13ttla7PWoZ-Or5fm8rIZ2eBMjuZZCOve/view","13ttla7PWoZ-Or5fm8rIZ2eBMjuZZCOve",False,"{}",NULL,"completed","2026-01-01 05:57:34.491965","2026-01-13 12:36:27.200106",1,1
51,"1256744399","2025-12-09","18:12:00","2026-01-01 14:06:00","Chee Yoong Restaurant","111.85","MYR","33.00","0.295038","Meals - Dinner","Kuala Lumpur, Malaysia","Own $$$","Vendor is a restaurant, categorized as 'Meals - Dinner' based on time (18:12). OCR quality is 85%, MYR with 2 decimals applied.","Together AI Qwen 2.5 72B","2.67","free",92,"https://drive.google.com/file/d/1PzIGmBiUvwE2nn9rnshANvM6y1O9xsaI/view","1PzIGmBiUvwE2nn9rnshANvM6y1O9xsaI",False,"{}",NULL,"completed","2026-01-01 06:07:04.604818","2026-01-13 12:36:27.200106",1,1
52,"1256744399","2025-04-12","14:46:00","2026-01-01 14:09:00","Guzman y Gomez","25.50","SGD","25.50","1.000000","Meals - Dinner","Singapore, Singapore","Company Card","Vendor is a restaurant (Guzman y Gomez), time is 14:46 (Dinner). Location inferred as Singapore from address and phone code. Currency is SGD with 2 decimals. OCR quality 85%, some minor OCR errors like 'Ad to yo' but no impact on key fields. No dual-currency pattern detected.","Alibaba Qwen Turbo","2.78","paid",88,"https://drive.google.com/file/d/1cSQyP3eAzwl0jsz6RyvZ6I5SgF0lD3jU/view","1cSQyP3eAzwl0jsz6RyvZ6I5SgF0lD3jU",False,"{}",0,"completed","2026-01-01 06:09:43.017902","2026-01-13 12:36:27.200106",1,1
53,"1256744399","2026-06-05","00:19:00","2026-01-01 06:14:14.895","KFC","72.75","MYR","21.46","0.294983","Meals - Dinner","Tmn Megah, PJ","Own $$$","Vendor type: General Food Vendor. Meal categorization: Dinner (15:00-22:59). OCR quality: 85%. Currency: MYR with 2 decimals applied. No dual-currency pattern detected. Fields requiring verification: date, time, vendor, location (confidence <75%) Location unknown, currency requires verification.","Alibaba Qwen Turbo","2.55","paid",80,"https://drive.google.com/file/d/1XlSO9Bcg2DHZG8iYzC1aqJ50sPjrFsyx/view","1XlSO9Bcg2DHZG8iYzC1aqJ50sPjrFsyx",False,"{date,time,vendor,location,currency}",5,"completed","2026-01-01 06:14:14.958382","2026-01-13 12:36:27.200106",1,1
54,"1256744399","2025-12-04","20:14:00","2026-01-01 16:36:00","ZI ZAI VEGETARIAN","6.80","SGD","6.80","1.000000","Meals - Dinner","Tampines, Singapore","Own $$$","Vendor is a vegetarian restaurant. Meal categorized as dinner based on time (20:14). OCR quality is 85%, and currency is SGD with 2 decimals. No fields require verification.","Together AI Qwen 2.5 72B","3.20","free",93,"https://drive.google.com/file/d/1-gCKF0OGmfbiVquypYbvuN1gFp5CPbu_/view","1-gCKF0OGmfbiVquypYbvuN1gFp5CPbu_",False,"{}",0,"completed","2026-01-01 08:36:49.066517","2026-01-13 12:36:27.200106",1,1
58,"1256744399","2025-12-30","11:42:00","2026-01-01 20:49:00","The Mkayplus","180.95","MYR","53.38","0.294999","Meals - Lunch","Petaling Jaya, Malaysia","Company Card","Vendor is a restaurant, categorized as 'Meals - Lunch' based on time (11:42). OCR quality is 85%, MYR with 2 decimals applied.","Together AI Qwen 2.5 72B","2.52","free",92,"https://drive.google.com/file/d/1wEUCdmvrdA5SnjrP7kObCPd_YdSGZ7Ou/view","1wEUCdmvrdA5SnjrP7kObCPd_YdSGZ7Ou",False,"{}",0,"completed","2026-01-01 12:49:41.741179","2026-01-13 12:36:27.200106",1,1
60,"1256744399","2026-01-01","19:00:00","2026-01-01 20:56:00","Beutea","18.95","MYR","5.59","0.294987","Meals - Dinner","Kuala Lumpur, Malaysia","Own $$$","Vendor is a coffee/tea chain (Beutea), categorized as Meals - Drinks. Time of 19:00 falls under Dinner. OCR quality 85%. MYR with 2 decimals applied. No dual-currency pattern detected.","Alibaba Qwen Turbo","2.83","paid",88,"https://drive.google.com/file/d/1-JN5V7cUUzv98BC001u911ogAHQMmxMv/view","1-JN5V7cUUzv98BC001u911ogAHQMmxMv",False,"{}",0,"completed","2026-01-01 12:56:43.573443","2026-01-13 12:36:27.200106",1,1
61,"1256744399","2025-07-06","15:24:00","2026-01-01 13:20:46.368","Chee Cheung Fun","72.75","MYR","21.46","0.294983","Meals - XXX","Malaysia","Own $$$","Vendor and time unclear, using location and currency from context, MYR with 2 decimals, fields requiring verification: date, time, vendor, category","Groq Llama 3.3 70B","0.94","free",58,"https://drive.google.com/file/d/1PJBbXqNVtxzetRQCQ76_JEEf5ck7P7Fq/view","1PJBbXqNVtxzetRQCQ76_JEEf5ck7P7Fq",False,"{date,time,vendor}",3,"completed","2026-01-01 13:20:46.442322","2026-01-13 12:36:27.200106",1,1
62,"1256744399","2025-12-01","18:40:00","2026-01-01 21:21:00","Restoran Fu Lai","113.50","MYR","33.48","0.294978","Meals - Dinner","Puchong, Malaysia","Own $$$","Vendor is a restaurant, categorized as 'Meals - Dinner' based on time. OCR quality is 85%, MYR with 2 decimals applied.","Together AI Qwen 2.5 72B","2.78","free",92,"https://drive.google.com/file/d/1nDuoT9Cd-OP1KluH9H047HETYHr3iwCg/view","1nDuoT9Cd-OP1KluH9H047HETYHr3iwCg",False,"{}",0,"completed","2026-01-01 13:21:47.251649","2026-01-13 12:36:27.200106",1,1
63,"1256744399","2025-12-26","13:29:00","2026-01-01 13:32:03.223","YuDanFun","177.45","MYR","52.35","0.295013","Meals - Lunch","Batu 14, Puchong","Own $$$","Vendor and location are unclear due to lack of explicit information. Meal categorized as lunch based on time (13:29). OCR quality is 85%, and MYR with 2 decimals is applied. Vendor and location require verification. Location unknown, currency requires verification.","Together AI Qwen 2.5 72B","3.33","free",83,"https://drive.google.com/file/d/1sL4EIovRGLdPduIB8_4GBh1h-nGVpKc8/view","1sL4EIovRGLdPduIB8_4GBh1h-nGVpKc8",False,"{vendor,location,currency}",3,"completed","2026-01-01 13:32:03.298237","2026-01-13 12:36:27.200106",1,1
64,"1256744399","2025-08-08","18:58:00","2026-01-01 13:46:18.065","One m","146.75","USD","198.11","1.349983","Meals - Dinner","Phnom Penh, Cambodia","Company Card","Vendor type: General Food Vendor. Meal categorization based on time logic (assumed 15:00-22:59). OCR quality: 85%. USD with 2 decimals applied. No dual-currency detected. Fields requiring verification: date, time, vendor, location, category. Location unknown, currency requires verification.","Alibaba Qwen Turbo","2.78","paid",72,"https://drive.google.com/file/d/1GTdZBiCh8Bc2Mx27Rdl1rdhhxB7_LzZr/view","1GTdZBiCh8Bc2Mx27Rdl1rdhhxB7_LzZr",False,"{date,time,location,currency}",4,"completed","2026-01-01 13:46:18.173527","2026-01-13 12:36:27.200106",1,1
65,"1256744399","2025-12-12","12:01:00","2026-01-01 21:47:00","IKEA","25.00","MYR","7.38","0.295200","Meals - Snacks","Penang, Malaysia","Company Card","Vendor type: General food vendor. Meal categorization: 'Meals - Snacks' based on item types (bread, soup, coffee). OCR quality: 85%. Currency formatted correctly with 2 decimals (MYR). No dual-currency detected. Fields requiring verification: None.","Alibaba Qwen Turbo","2.90","paid",88,"https://drive.google.com/file/d/1T3bsJuzZezrEsUMUPyXCDAtB-XaIVeZF/view","1T3bsJuzZezrEsUMUPyXCDAtB-XaIVeZF",False,"{}",0,"completed","2026-01-01 13:47:30.337898","2026-01-13 12:36:27.200106",1,1
66,"1256744399","2025-09-10","09:17:00","2026-01-01 13:50:48.929","09:17","72.75","MYR","21.46","0.294983","Meals - XXX","Malaysia","Own $$$","Vendor and date/time not found, location inferred from 'RM' and tax format, total amount and tax calculated from receipt, currency is MYR with 2 decimals, fields requiring verification: date, time, vendor, category","Groq Llama 3.3 70B","1.21","free",58,"https://drive.google.com/file/d/1uWvY78QYmRj0R_sAAaIfT8lpU0ihexO9/view","1uWvY78QYmRj0R_sAAaIfT8lpU0ihexO9",False,"{date,time,vendor}",3,"completed","2026-01-01 13:50:49.031577","2026-01-13 12:36:27.200106",1,1
67,"1256744399","2025-11-26","20:53:00","2026-01-01 14:11:23.944","Unknown","259.00","USD","349.65","1.350000","Meals - Dinner","Phnom Penh, Cambodia","Company Card","Unknown vendor type, dual-currency receipt with USD and KHR, high OCR quality, requires verification of vendor and location Location unknown, currency requires verification.","Groq Llama 3.3 70B","0.51","free",85,"https://drive.google.com/file/d/1TbRJH_lxP0BuFYrXiw-nDsoWJVDPTn0h/view","1TbRJH_lxP0BuFYrXiw-nDsoWJVDPTn0h",False,"{location,currency}",2,"completed","2026-01-01 14:11:23.992792","2026-01-13 12:36:27.200106",1,1
68,"1256744399","2025-12-28","09:17:00","2026-01-01 22:12:00","SAY YES CAFE","16.95","MYR","5.00","0.294985","Meals - Breakfast","Petalaling Jaya, Malaysia","Own $$$","Coffee shop with breakfast items, OCR quality (85%), MYR with decimals, verify date and time","Together AI Qwen 2.5 72B","1.59","free",85,"https://drive.google.com/file/d/1tdUK3iQYzC_8_fh4W9bK35bDK9QiDQ8b/view","1tdUK3iQYzC_8_fh4W9bK35bDK9QiDQ8b",False,"{}",0,"completed","2026-01-01 14:12:52.739691","2026-01-13 12:36:27.200106",1,1
69,"1256744399","2026-01-01","22:13:00","2026-01-01 14:14:37.365","YVGAM3A","72.75","USD","98.21","1.349966","Meals - Dinner","Sihanokville, Cambodia","Company Card","Restaurant, OCR quality 85%, MYR decimal formatting, verify vendor name and location Location unknown, currency requires verification.","Groq Llama 3.3 70B","0.70","free",90,"https://drive.google.com/file/d/1o--ZCJgRmkLx43hJbzr7kEjmiuJZp-G_/view","1o--ZCJgRmkLx43hJbzr7kEjmiuJZp-G_",False,"{location,currency}",2,"completed","2026-01-01 14:14:37.426825","2026-01-13 12:36:27.200106",1,1
70,"1256744399","2025-11-25","19:12:00","2026-01-01 14:15:48.12","Chinese","21.00","USD","28.35","1.350000","Meals - Dinner","Phnom Penh, Cambodia","Company Card","Vendor type: Chinese restaurant. OCR quality: 85%. Currency decimal formatting: USD (2 decimals). Fields requiring verification: location, tax_amount Location unknown, currency requires verification.","Alibaba Qwen Turbo","1.39","paid",85,"https://drive.google.com/file/d/1_zqBE2NSNIH1ZnFYxgP3Et0K0jjbexep/view","1_zqBE2NSNIH1ZnFYxgP3Et0K0jjbexep",False,"{location,currency}",2,"completed","2026-01-01 14:15:48.242346","2026-01-13 12:36:27.200106",1,1
71,"1256744399","2025-11-25","19:12:00","2026-01-01 14:17:30.23","Chinese","21.00","THB","0.80","0.038095","Meals - Dinner","Bangkok, Thailand","Own $$$","Vendor type: Chinese restaurant. OCR quality: 85%. Currency decimal formatting: USD (2 decimals). Fields requiring verification: location, tax amount. Location unknown, currency requires verification.","Alibaba Qwen Turbo","1.71","paid",85,"https://drive.google.com/file/d/1J9yj9xZ9oRmX4xRILTDp1rl23CmGKSfB/view","1J9yj9xZ9oRmX4xRILTDp1rl23CmGKSfB",False,"{location,currency}",2,"completed","2026-01-01 14:17:30.284245","2026-01-13 12:36:27.200106",1,1
72,"1256744399","2025-10-15","09:03:00","2026-01-02 02:07:04.095","Magnificent Parker","43.00","MYR","12.69","0.295116","Meals - Breakfast","Taman Megah, PJ","Own $$$","Vendor appears to be a restaurant or bakery, OCR quality (85%), currency decimal formatting confirmed, location requires verification Location unknown, currency requires verification.","Together AI Qwen 2.5 72B","2.43","free",85,"https://drive.google.com/file/d/1sqR2tgFsDk40Nu5AbAyGBZryIIN0MUx4/view","1sqR2tgFsDk40Nu5AbAyGBZryIIN0MUx4",False,"{location,currency}",2,"completed","2026-01-02 02:07:04.16873","2026-01-13 12:36:27.200106",1,1
73,"1256744399","2026-01-03","19:02:00","2026-01-04 06:58:00","Dao","12.40","MYR","3.66","0.295161","Meals - Dinner","Petaling Jaya, Malaysia",NULL,"Vendor type: restaurant. OCR quality: 85%. Currency decimal formatting: correct. Fields requiring verification: tax_amount, category.","Alibaba Qwen Turbo","1.57","paid",90,"https://drive.google.com/file/d/1mCvk2kZbYlGIUuxI8BIDLx9MrtkYXc5v/view","1mCvk2kZbYlGIUuxI8BIDLx9MrtkYXc5v",False,"{}",0,"completed","2026-01-03 22:58:43.253381","2026-01-13 12:36:27.200106",1,1
75,"1256744399","2026-01-03","19:02:00","2026-01-04 07:00:00","Cajolly Group","12.40","MYR","3.66","0.295161","Meals - Dinner","Petaling Jaya, Malaysia","Own $$$","Food vendor, OCR quality 85%, MYR decimal formatting, verify tax amount","Groq Llama 3.3 70B","0.48","free",90,"https://drive.google.com/file/d/1ffbAlxKlATU9AVA5WLBs_dfv56yKpgBJ/view","1ffbAlxKlATU9AVA5WLBs_dfv56yKpgBJ",False,"{}",0,"completed","2026-01-03 23:00:11.481654","2026-01-13 12:36:27.200106",1,1
76,"1256744399","2026-01-04","12:35:00","2026-01-04 13:58:00","RESTAURANT FATHA RAJB","26.60","MYR","7.85","0.295113","Meals - Lunch","Damansara Utara, Selangor","Own $$$","76 (fuel). Vendor type: Restaurant. OCR quality: 85%. Currency decimal formatting: MYR. Fields requiring verification: Tax amount.","Alibaba Qwen Turbo","2.07","paid",90,"https://drive.google.com/file/d/1S4LP-f23lwp9DhcYWbrQAoBSQJT_l3TB/view","1S4LP-f23lwp9DhcYWbrQAoBSQJT_l3TB",False,"{}",0,"completed","2026-01-04 05:58:52.589207","2026-01-13 12:36:27.200106",1,1
77,"1256744399","2026-01-04","12:35:00","2026-01-04 20:36:00","Fatha Rajb","26.60","MYR","7.85","0.295113","Meals - Lunch","Petaling Jaya, Malaysia","Own $$$","76 (fuel). Restaurant receipt, OCR quality 85%, MYR decimal formatting, verify tax amount","Groq Llama 3.3 70B","0.57","free",85,"https://drive.google.com/file/d/1QQshhdkQxUkbEFQttJO9P4f4an3nPPLO/view","1QQshhdkQxUkbEFQttJO9P4f4an3nPPLO",False,"{}",0,"completed","2026-01-04 12:36:13.862323","2026-01-13 12:36:27.200106",1,1
79,"1256744399","2025-12-23","11:50:00","2026-01-04 20:43:00","KONLOONE","68.00","MYR","20.06","0.295000","Meals - Lunch","Petaling Jaya, Malaysia","Own $$$","Restaurant receipt, OCR quality 85%, MYR decimal formatting, verify tax breakdown","Groq Llama 3.3 70B","0.61","free",85,"https://drive.google.com/file/d/1nqqx7PrxkM5pTbQaxK_PAKkdo3uN6irA/view","1nqqx7PrxkM5pTbQaxK_PAKkdo3uN6irA",False,"{}",0,"completed","2026-01-04 12:43:26.005619","2026-01-13 12:36:27.200106",1,1
80,"1256744399","2026-01-04","20:43:00","2026-01-04 12:44:34.556","QUEST CHECK","72.75","MYR","21.46","0.294983","Meals - Dinner","BKT Damansara, Malaysia","Own $$$","Vendor is a restaurant, OCR quality (85%), currency decimal formatting, and fields requiring verification Location unknown, currency requires verification.","Together AI Qwen 2.5 72B","1.44","free",85,"https://drive.google.com/file/d/1AxEbvMoMC2GVnaJazM6ZcUx-tX5YzlrU/view","1AxEbvMoMC2GVnaJazM6ZcUx-tX5YzlrU",False,"{location,currency}",2,"completed","2026-01-04 12:44:34.609446","2026-01-13 12:36:27.200106",1,1
81,"1256744399","2025-12-29","11:50:00","2026-01-04 21:54:00","AEON","17.45","MYR","5.15","0.295129","Groceries","Kuala Lumpur, Malaysia","Own $$$","AEON (supermarket). Supermarket receipt, OCR quality 85%, MYR decimal formatting, verify tax amount","Groq Llama 3.3 70B","0.75","free",85,"https://drive.google.com/file/d/1jmjYc7MYl1RVa6PNn8LXorsCvbjMEKBd/view","1jmjYc7MYl1RVa6PNn8LXorsCvbjMEKBd",False,"{}",0,"completed","2026-01-04 13:54:30.54735","2026-01-13 12:36:27.200106",1,1
82,"1256744399","2026-01-05","08:14:00","2026-01-05 08:35:00","SAY YES CAFE","21.85","MYR","6.45","0.295195","Meals - Breakfast","PETALING JAYA, MALAYSIA","Own $$$","Vendor type: cafe. OCR quality: 85%. Currency decimal formatting: MYR with 2 decimals. Fields requiring verification: category, location (city and country).","Alibaba Qwen Turbo","1.82","paid",90,"https://drive.google.com/file/d/1JgDYgrzZ6UJ40q-UPrs4j0dtbUGi2zAw/view","1JgDYgrzZ6UJ40q-UPrs4j0dtbUGi2zAw",False,"{}",0,"completed","2026-01-05 00:35:23.075626","2026-01-13 12:36:27.200106",1,1
84,"1256744399","2026-01-08","17:50:00","2026-01-08 17:51:00","Zi Zai Vegetarian","1.90","SGD","1.90","1.000000","Meals - Dinner","Singapore, Singapore","Own $$$","Vendor type: Vegetarian restaurant. OCR quality: 85%. Currency decimal formatting: SGD (2 decimals). Fields requiring verification: location, category.","Alibaba Qwen Turbo","1.78","paid",90,"https://drive.google.com/file/d/1oIYu-43q7WWOwIyAoBeZftgx4LiNdNnB/view","1oIYu-43q7WWOwIyAoBeZftgx4LiNdNnB",False,"{}",0,"completed","2026-01-08 09:51:34.431139","2026-01-13 12:36:27.200106",1,1
85,"1256744399","2026-01-08","17:49:00","2026-01-08 18:12:00","Zi Zai Vegetarian","5.50","SGD","5.50","1.000000","Meals - Dinner","Tampines, Singapore","Own $$$","Vegetarian restaurant, OCR quality 85%, SGD decimal formatting, verify tax amount","Groq Llama 3.3 70B","0.64","free",85,"https://drive.google.com/file/d/1QRXrnPISVZlOsOvCmKt34pw1Vt1mo3pm/view","1QRXrnPISVZlOsOvCmKt34pw1Vt1mo3pm",False,"{}",0,"completed","2026-01-08 10:13:09.706032","2026-01-13 12:36:27.200106",1,1
86,"1256744399","2026-01-09","17:25:00","2026-01-09 09:29:03.622","OTH Stall 49","5.90","SGD","5.90","1.000000","Meals - Dinner","Tampines, Singapore","Own $$$","Vendor is a food stall, OCR quality (85%), currency decimal formatting, and fields requiring verification Location unknown, currency requires verification.","Together AI Qwen 2.5 72B","1.56","free",85,"https://drive.google.com/file/d/18E8KPrJoqltL-R2r9yfWHCTJXsm7E4Vt/view","18E8KPrJoqltL-R2r9yfWHCTJXsm7E4Vt",False,"{location,currency}",2,"completed","2026-01-09 09:29:03.676792","2026-01-13 12:36:27.200106",1,1
87,"1256744399","2025-01-10","11:29:00","2026-01-10 12:28:00","DXE Northpoint City","59.69","SGD","59.69","1.000000","Meals - Lunch","Singapore, Singapore","Own $$$","76 (fuel). Restaurant, OCR quality 85%, SGD decimal formatting, verify tax breakdown","Groq Llama 3.3 70B","0.71","free",85,"https://drive.google.com/file/d/1DrFZry639KG_82Guv91OBqvM2bd08SMD/view","1DrFZry639KG_82Guv91OBqvM2bd08SMD",False,"{}",0,"completed","2026-01-10 04:28:30.259158","2026-01-13 12:36:27.200106",1,1
89,"1256744399","2026-01-08","17:49:00","2026-01-11 16:33:00","自在斋","5.95","SGD","5.95","1.000000","Meals - Dinner","Tampines, Singapore",NULL,"Vegetarian restaurant, OCR quality (85%), currency with decimals, verify location and total amount","Together AI Qwen 2.5 72B","1.92","free",85,"https://drive.google.com/file/d/1u31PH-8y3AOwjQ92aJlyQRcunJVwXC4z/view","1u31PH-8y3AOwjQ92aJlyQRcunJVwXC4z",False,"{}",0,"completed","2026-01-11 08:34:44.406677","2026-01-11 08:34:44.406677",NULL,NULL
90,"1256744399","2026-01-05","08:14:00","2026-01-11 18:34:00","SAY YES CAFE","21.85","MYR","6.45","0.295195","Meals - Breakfast","Petaling Jaya, Malaysia",NULL,"Coffee shop, OCR quality 85%, MYR decimal formatting, verify subtotal and tax calculation","Groq Llama 3.3 70B","0.58","free",85,"https://drive.google.com/file/d/1sCuuI_CZZ-JkJv063DvBLee1oCQFNWJQ/view","1sCuuI_CZZ-JkJv063DvBLee1oCQFNWJQ",False,"{}",0,"completed","2026-01-11 10:34:32.077403","2026-01-11 10:34:32.077403",NULL,NULL
